ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor,Method,factor
GO:0051084,'de novo' post-translational protein folding,42,0.5366526049844966,2.153328253303231,8.961446033068508e-6,4.464144962203774e-4,NA,3825,"tags=57%, list=25%, signal=43%",3336/10728/131474/10694/972/23753/3309/6767/27433/11080/573/10574/10575/1861/10808/908/7266/3337/51182/6388/6782/6950/10576/3305,gfa_rna_gsea_f1,GFA,F1
GO:0006458,'de novo' protein folding,47,0.5463690818772371,2.2403815024556155,3.105737872590509e-6,1.9297198101137113e-4,NA,3825,"tags=57%, list=25%, signal=43%",3336/10728/131474/2280/10694/972/2281/23753/3309/6767/27433/11080/573/10574/10575/1861/10808/908/3329/7266/3337/51182/6388/6782/6950/10576/3305,gfa_rna_gsea_f1,GFA,F1
GO:0006103,2-oxoglutarate metabolic process,16,-0.6320641518667968,-1.80026742733193,0.00253291464588452,0.01578684236892037,NA,2757,"tags=56%, list=18%, signal=46%",51166/2806/84706/3418/137872/4967/728294/2805/55753,gfa_rna_gsea_f6,GFA,F6
GO:0061158,3'-UTR-mediated mRNA destabilization,17,-0.7350720290367939,-2.244120746841862,3.6022123281298515e-5,6.578949606557156e-4,NA,1780,"tags=59%, list=12%, signal=52%",5976/80149/84069/7538/23435/678/3184/8570/677/4343,gfa_rna_gsea_f8,GFA,F8
GO:0046032,ADP catabolic process,90,-0.5169406865071391,-2.23602934289722,6.217684126480572e-8,1.86437722538798e-6,NA,2683,"tags=38%, list=18%, signal=31%",4907/3939/2027/221937/2203/3101/5208/6521/5213/402/201163/7167/5663/5230/5465/8870/2821/6774/26471/226/230/5211/8850/5563/51085/8671/84676/2597/5214/3091/3099/2026/256471/5209,gfa_rna_gsea_f13,GFA,F13
GO:0046031,ADP metabolic process,95,-0.5063409499994275,-2.201684144787972,4.192155810797317e-8,1.3368319085542556e-6,NA,2683,"tags=37%, list=18%, signal=30%",4907/3939/2027/221937/2203/3101/5208/6521/5213/402/201163/7167/5663/204/5230/5465/8870/2821/6774/26471/226/230/5211/8850/5563/51085/8671/84676/2597/5214/3091/3099/2026/256471/5209,gfa_rna_gsea_f13,GFA,F13
GO:0015866,ADP transport,11,0.71261367210995,1.8158892973728484,0.00332086792825206,0.03868356043454449,NA,3187,"tags=64%, list=21%, signal=50%",114789/10237/291/10478/292/284427/79085,gfa_rna_gsea_f12,GFA,F12
GO:0032011,ARF protein signal transduction,19,0.6023023831136451,1.7448409390154973,0.00415378817671257,0.02207554825570032,NA,4157,"tags=58%, list=28%, signal=42%",9267/27128/23096/23550/9815/10564/8729/23362/9922/9265/9448,gfa_rna_gsea_f4,GFA,F4
GO:0006754,ATP biosynthetic process,64,0.5574720880830385,2.400493789611517,5.3927395562715017e-8,2.9818386518943432e-6,NA,3410,"tags=56%, list=23%, signal=44%",65018/523/4711/4714/4719/4704/4709/4718/6390/4713/4706/55967/4724/4722/4695/4723/1353/4707/4716/318/4694/4700/4708/4715/4696/126328/30968/4712/3988/55022/54209/4725/4717/4731/4728/4710,gfa_rna_gsea_f8,GFA,F8
GO:0046034,ATP metabolic process,179,0.4047345863674615,1.9442116435696188,1.849686306219107e-7,1.798074091545574e-5,NA,3260,"tags=38%, list=22%, signal=30%",114789/2597/2023/5223/7167/5214/2821/4907/3098/3312/5230/57521/3692/4713/526/4696/3304/51548/706/351/4700/5663/2026/4714/11182/2033/374291/126328/3643/1291/523/5213/6774/3939/4723/51024/3303/4724/55753/6390/7415/572/54541/64802/3091/30968/4725/221937/226/4708/4722/5236/3099/79147/4728/4712/4711/4705/5211/4707/5209/4719/3607/4726/55967/318/204/54539,gfa_rna_gsea_f12,GFA,F12
