ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor,Method,factor,Term
GO:0002768,immune response-regulating cell surface receptor signaling pathway,292,0.5914855704632238,2.8245406669695683,1e-10,4.531578947368421e-9,NA,1722,"tags=39%, list=11%, signal=35%",1240/8517/2359/150372/7409/6850/89857/3932/5777/695/3071/84433/1535/719/3055/53347/1493/5293/5336/940/2268/7535/917/915/929/945/10288/4773/3635/54209/971/7100/10859/7294/919/1378/3684/3654/5284/2212/7805/7305/3115/2357/728/387357/131450/11006/1236/118788/4814/11314/916/10062/2219/5583/7462/23149/338339/26191/84174/84807/7096/4790/64127/3937/100/64005/64581/7097/7006/9404/7070/8878/3988/925/11027/10333/50852/79931/114609/5058/2207/5795/2214/974/4332/2885/930/2358/2625/23643/5621/3430/718/23228/84106/4067/55198/958/4068/2867/4669/3551/8631/56940/26253/4938/10584/660/4277/79908/1845/80149,gfa_rna_gsea_f4,GFA,F4,"immune response-regulating cell surface receptor
signaling pathway"
GO:0000380,"alternative mRNA splicing, via spliceosome",56,-0.6724517138827384,-2.7849319298385207,1e-10,4.531578947368421e-9,NA,1953,"tags=46%, list=13%, signal=41%",11100/10569/221092/10657/4858/10284/27316/11171/3178/22916/10181/6421/3192/10521/9939/7072/10179/5936/9589/84991/2332/6434/91746/4857/58517/55082,gfa_rna_gsea_f4,GFA,F4,"alternative mRNA splicing, via spliceosome"
GO:0002250,adaptive immune response,394,0.5703627197858682,2.777926272139024,1e-10,4.531578947368421e-9,NA,3044,"tags=49%, list=20%, signal=40%",8741/11035/712/219972/6850/10462/713/912/6494/54440/3594/714/6776/1520/89857/3903/3575/5777/695/81622/3071/27240/8792/1439/5133/51311/7133/920/1493/113/8832/5293/940/84868/729230/3586/29108/7535/3566/917/915/201294/51744/10288/7454/3635/54209/10859/7294/919/1512/1378/54941/6556/942/2212/6778/10148/3115/3560/3109/387357/11006/5294/89790/3113/440275/1075/23765/3108/5551/3140/10312/916/923/30835/7462/4063/3122/8809/338339/639/3111/972/84174/84807/3606/3718/64127/100/64005/64581/7006/84695/925/10538/50852/114548/3570/51043/10990/924/57823/7942/8320/2529/64170/2207/5027/2214/28988/6504/974/3312/6775/930/6693/3004/730/430/2625/718/2185/4067/11024/338322/958/4068/3142/3554/1604/3133/50615/7124/8631/56940/969/23075/939/6398/259307/3665/660/4277/79908/717/913/722/80149/2013/3077/50856/8807/3726/6830/5580/117157/735/3383/716/3956/54900/255231/246778/81545/3593/7040/725/4092/7186/6774/9173/100507436/127544/91543/3134/8772/200558/9021/51176/10666/54210/8995/9466/170482/3717/1445/975/7292/84861/1379/708/10384/26022,gfa_rna_gsea_f4,GFA,F4,adaptive immune response
GO:0002429,immune response-activating cell surface receptor signaling pathway,266,0.5896134172463591,2.776394593639996,1e-10,4.531578947368421e-9,NA,1722,"tags=39%, list=11%, signal=35%",1240/8517/2359/150372/7409/6850/89857/3932/5777/695/3071/84433/1535/719/3055/53347/1493/5293/5336/940/2268/7535/917/915/929/4773/3635/54209/971/7100/7294/919/1378/3684/3654/7805/7305/3115/2357/728/387357/11006/1236/118788/4814/11314/916/10062/2219/5583/7462/23149/26191/84174/84807/7096/4790/64127/3937/100/64005/64581/7097/7006/9404/7070/8878/3988/925/11027/10333/50852/79931/114609/5058/2207/5795/974/4332/2885/930/2358/2625/23643/5621/3430/718/23228/84106/4067/55198/4068/2867/4669/3551/8631/56940/4938/10584/660/4277/79908/1845/80149,gfa_rna_gsea_f4,GFA,F4,"immune response-activating cell surface receptor
signaling pathway"
GO:0008380,RNA splicing,369,-0.5067081448247016,-2.754578548215191,1e-10,4.531578947368421e-9,NA,3106,"tags=43%, list=21%, signal=35%",84811/202559/375316/22985/51163/9913/8175/51319/8233/53938/26528/54845/54957/6626/8161/10432/5295/8570/55596/79753/199746/2521/26993/1859/25862/27258/3190/1653/11338/57060/23451/23210/6632/11157/988/8464/117143/83759/1665/11100/10465/4236/5394/51574/10569/143884/984/57187/9541/221092/55660/64863/6100/4691/57461/10657/1207/4858/3181/10180/494115/116461/10137/51634/55599/6627/8850/6881/27336/10284/10081/10250/3183/3189/57721/27316/23398/11017/22927/80746/55094/676/23658/11171/1196/64121/91603/9444/6880/10199/9984/3178/6625/23435/11218/51329/220988/65109/6638/51729/11168/9584/22916/10181/3187/283742/79760/22938/57396/6635/10286/6421/55110/57018/3192/10521/81669/10915/9939/58155/10285/25949/10236/55692/7072/51202/10179/5936/57703/9589/3188/84991/387597/23091/2332/10492/55119/84950/29896/1195/1153/9419/5411/6434/284695/9360/91746/4857/51747/51631/58517/9406/151987/144983/55015/55082/65110/154007/11193,gfa_rna_gsea_f4,GFA,F4,RNA splicing
GO:0050729,positive regulation of inflammatory response,136,0.6276152243228761,2.735641726505559,1e-10,4.531578947368421e-9,NA,2440,"tags=49%, list=16%, signal=42%",2896/1050/5734/695/22861/8792/4818/5336/940/4210/729230/29108/59341/58484/91662/1326/54209/7941/353514/5294/3603/1236/171389/8673/4814/1075/23765/51284/79792/5008/3606/25921/7097/114548/388125/6369/837/63940/81030/6280/4363/6283/3430/718/838/8692/338322/3133/7474/8717/2867/7124/5603/6279/4258/9447/834/241/2635/3956/3600/8737/3593/7040/101/26471/9173,gfa_rna_gsea_f4,GFA,F4,positive regulation of inflammatory response
GO:0000375,"RNA splicing, via transesterification reactions",252,-0.5235071260190036,-2.7342658938153246,1e-10,4.531578947368421e-9,NA,3106,"tags=45%, list=21%, signal=36%",84811/202559/375316/22985/51163/8175/51319/8233/53938/26528/54957/6626/8161/10432/8570/55596/79753/199746/1859/25862/27258/3190/1653/11338/57060/23451/23210/6632/11157/988/83759/1665/11100/10465/4236/5394/51574/10569/143884/221092/55660/4691/57461/10657/1207/4858/3181/10180/494115/51634/55599/6627/27336/10284/10250/3183/3189/57721/27316/23398/11017/55094/23658/11171/9444/10199/3178/6625/11218/220988/65109/6638/11168/9584/22916/10181/3187/79760/22938/6635/10286/6421/55110/3192/10521/9939/58155/10285/25949/10236/55692/7072/10179/5936/57703/9589/84991/2332/10492/84950/29896/1153/5411/6434/91746/4857/51747/51631/58517/144983/55015/55082/65110/11193,gfa_rna_gsea_f4,GFA,F4,"RNA splicing, via transesterification reactions"
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",248,-0.519306690769614,-2.70397483783235,1e-10,4.531578947368421e-9,NA,3106,"tags=45%, list=21%, signal=36%",84811/202559/375316/22985/51163/8175/51319/8233/53938/26528/54957/6626/8161/10432/55596/79753/199746/1859/25862/27258/3190/1653/11338/57060/23451/23210/6632/11157/988/83759/1665/11100/10465/4236/5394/51574/10569/143884/221092/55660/4691/57461/10657/1207/4858/3181/10180/494115/51634/55599/6627/27336/10284/10250/3183/3189/57721/27316/23398/11017/55094/23658/11171/9444/3178/6625/11218/220988/65109/6638/11168/9584/22916/10181/3187/79760/22938/6635/10286/6421/55110/3192/10521/9939/58155/25949/10236/55692/7072/10179/5936/57703/9589/84991/2332/10492/84950/29896/1153/5411/6434/91746/4857/51747/51631/58517/144983/55015/55082/65110/11193,gfa_rna_gsea_f4,GFA,F4,"RNA splicing, via transesterification reactions with
bulged adenosine as nucleophile"
GO:0000398,"mRNA splicing, via spliceosome",248,-0.519306690769614,-2.70397483783235,1e-10,4.531578947368421e-9,NA,3106,"tags=45%, list=21%, signal=36%",84811/202559/375316/22985/51163/8175/51319/8233/53938/26528/54957/6626/8161/10432/55596/79753/199746/1859/25862/27258/3190/1653/11338/57060/23451/23210/6632/11157/988/83759/1665/11100/10465/4236/5394/51574/10569/143884/221092/55660/4691/57461/10657/1207/4858/3181/10180/494115/51634/55599/6627/27336/10284/10250/3183/3189/57721/27316/23398/11017/55094/23658/11171/9444/3178/6625/11218/220988/65109/6638/11168/9584/22916/10181/3187/79760/22938/6635/10286/6421/55110/3192/10521/9939/58155/25949/10236/55692/7072/10179/5936/57703/9589/84991/2332/10492/84950/29896/1153/5411/6434/91746/4857/51747/51631/58517/144983/55015/55082/65110/11193,gfa_rna_gsea_f4,GFA,F4,"mRNA splicing, via spliceosome"
GO:0002764,immune response-regulating signaling pathway,463,0.546808003634752,2.699993052862642,1e-10,4.531578947368421e-9,NA,1747,"tags=35%, list=12%, signal=32%",1240/55666/8517/2359/150372/7409/6850/1520/89857/3903/3932/146722/5777/695/81622/3071/22861/51311/84433/1535/719/3055/53347/1493/5293/5336/940/4210/2268/84868/29108/7535/4034/917/915/124599/58484/929/945/10288/4773/3635/54209/971/7100/10859/7294/919/1512/1378/3684/54941/3654/5284/2212/7805/7305/3115/2357/728/387357/353514/131450/11006/1236/171389/118788/4814/11314/51284/916/10062/2219/5583/7462/23149/57864/7706/80342/338339/26191/84174/84807/7096/4790/64127/25921/3937/100/64005/64581/7097/7006/9404/7070/8878/3988/925/11027/10333/50852/84282/114548/79931/114609/5058/51296/10990/8678/10924/2207/5795/2214/126014/6280/284415/9437/974/3312/4332/2885/89870/8638/930/2358/11213/2625/23643/2672/5621/3430/718/23228/84106/4067/285852/11024/55198/27293/958/2099/4068/2867/4669/7124/3551/8631/56940/6279/79132/26253/81035/9447/4938/409/3665/10584/660/4277/79908/1845/80149/9684/23151,gfa_rna_gsea_f4,GFA,F4,immune response-regulating signaling pathway
