ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor,Method,factor,neglog10_padj,Term
GO:0035195,miRNA-mediated post-transcriptional gene silencing,215,-0.6685678856942802,-3.4725921967185664,1e-10,1.8834375e-8,NA,3085,"tags=75%, list=21%, signal=61%",574433/494328/407001/406891/693148/442910/574447/100302149/693139/100302250/768217/407021/406941/724026/574413/693177/100302157/574434/574436/693168/406966/442903/693203/100126313/693163/693120/406963/57510/406995/406937/693162/693228/100126331/724027/406973/664616/574452/406955/442908/100126345/407050/442911/100302217/693135/100126315/407016/442891/407037/1660/442905/693121/664612/494326/407015/619556/619555/768214/407036/406920/406889/693174/406900/407007/1981/100126348/693141/407039/574409/54487/4204/574450/574435/406978/664615/100126318/406932/768220/100126335/406919/100126333/724025/693198/1656/100126343/574454/574453/574508/100126327/693158/406997/407023/406987/406943/100126296/100302135/574408/407014/406961/693190/407030/693189/407051/494330/768218/407011/693143/407029/768212/57690/494331/100126308/9698/406969/4686/724024/693178/693159/100302289/406968/100126297/406946/442919/768216/407031/442892/693211/84872/406924/8994/442900/100302209/693154/494337/406929/407975/407019/27327/406882/407034/693166/406911/283131/23019/406885/724031/693209/693182/407055/693233/406890/406954/406976/406956/693160/23112/693186/693175/407054/407046/100302256/406893/407017,gfa_rna_gsea_f1,GFA,F1,7.725048786851994,miRNA-mediated post-transcriptional gene silencing
GO:0016441,post-transcriptional gene silencing,229,-0.6483159296021269,-3.394101196709023,1e-10,1.8834375e-8,NA,3085,"tags=72%, list=21%, signal=58%",574433/494328/407001/406891/693148/442910/574447/100302149/693139/100302250/768217/407021/406941/724026/574413/693177/100302157/574434/574436/693168/406966/442903/693203/100126313/693163/693120/406963/57510/406995/406937/693162/693228/100126331/724027/406973/664616/574452/406955/442908/100126345/407050/442911/100302217/693135/100126315/407016/442891/407037/1660/442905/693121/664612/494326/407015/619556/619555/768214/407036/406920/406889/693174/406900/407007/1981/100126348/693141/407039/574409/54487/4204/574450/574435/406978/664615/100126318/406932/768220/100126335/406919/100126333/724025/693198/1656/100126343/574454/574453/574508/100126327/693158/406997/407023/406987/406943/100126296/100302135/574408/407014/406961/693190/407030/693189/407051/494330/768218/407011/693143/407029/768212/57690/23405/494331/100126308/9698/406969/4686/724024/693178/693159/100302289/406968/100126297/406946/442919/768216/407031/442892/693211/84872/406924/8994/442900/100302209/693154/494337/406929/407975/407019/27327/406882/407034/693166/26058/406911/283131/23019/406885/724031/693209/693182/407055/693233/406890/406954/9931/406976/406956/693160/23112/693186/693175/407054/378938/407046/100302256/406893/407017,gfa_rna_gsea_f1,GFA,F1,7.725048786851994,post-transcriptional gene silencing
GO:0035194,regulatory ncRNA-mediated post-transcriptional gene silencing,225,-0.6484879837359152,-3.3910517154762494,1e-10,1.8834375e-8,NA,3085,"tags=73%, list=21%, signal=59%",574433/494328/407001/406891/693148/442910/574447/100302149/693139/100302250/768217/407021/406941/724026/574413/693177/100302157/574434/574436/693168/406966/442903/693203/100126313/693163/693120/406963/57510/406995/406937/693162/693228/100126331/724027/406973/664616/574452/406955/442908/100126345/407050/442911/100302217/693135/100126315/407016/442891/407037/1660/442905/693121/664612/494326/407015/619556/619555/768214/407036/406920/406889/693174/406900/407007/1981/100126348/693141/407039/574409/54487/4204/574450/574435/406978/664615/100126318/406932/768220/100126335/406919/100126333/724025/693198/1656/100126343/574454/574453/574508/100126327/693158/406997/407023/406987/406943/100126296/100302135/574408/407014/406961/693190/407030/693189/407051/494330/768218/407011/693143/407029/768212/57690/494331/100126308/9698/406969/4686/724024/693178/693159/100302289/406968/100126297/406946/442919/768216/407031/442892/693211/84872/406924/8994/442900/100302209/693154/494337/406929/407975/407019/27327/406882/407034/693166/406911/283131/23019/406885/724031/693209/693182/407055/693233/406890/406954/9931/406976/406956/693160/23112/693186/693175/407054/378938/407046/100302256/406893/407017,gfa_rna_gsea_f1,GFA,F1,7.725048786851994,regulatory ncRNA-mediated post-transcriptional gene silencing
GO:0031047,regulatory ncRNA-mediated gene silencing,273,-0.602729220144012,-3.205796399458803,1e-10,1.8834375e-8,NA,3509,"tags=68%, list=23%, signal=53%",3192/56165/131405/103/406913/574457/442907/29066/55124/27044/221400/574433/494328/407001/406891/693148/442910/574447/100302149/693139/100302250/768217/4087/407021/406941/724026/574413/693177/100302157/574434/574436/693168/406966/442903/693203/100126313/693163/693120/406963/57510/406995/406937/693162/693228/100126331/724027/406973/664616/574452/406955/442908/100126345/407050/442911/246175/100302217/693135/100126315/407016/442891/407037/1660/442905/693121/664612/494326/407015/619556/619555/768214/407036/10521/406920/406889/693174/406900/407007/1981/100126348/693141/407039/574409/54487/4204/574450/574435/406978/664615/100126318/406932/768220/100126335/406919/100126333/724025/693198/1656/100126343/574454/91646/574453/574508/100126327/693158/406997/407023/406987/406943/100126296/100302135/574408/407014/406961/693190/407030/693189/407051/494330/768218/407011/693143/407029/768212/57690/56339/23405/494331/100126308/9698/406969/4686/724024/57169/693178/693159/100302289/406968/100126297/406946/442919/768216/407031/442892/693211/84872/406924/8994/442900/100302209/693154/494337/406929/407975/9631/407019/27327/406882/407034/693166/406911/283131/23019/406885/724031/23013/693209/693182/407055/693233/406890/406954/9931/406976/406956/693160/23112/1788/693186/693175/407054/378938/407046/100302256/406893/407017,gfa_rna_gsea_f1,GFA,F1,7.725048786851994,regulatory ncRNA-mediated gene silencing
GO:0002181,cytoplasmic translation,150,0.6102137540975141,3.1619454563034073,1e-10,1.8834375e-8,NA,3601,"tags=74%, list=24%, signal=57%",6451/51389/6228/55854/8667/6217/7555/6164/6230/6138/6122/6154/9045/6155/6156/6207/8669/6144/4690/6134/25946/6158/6176/6125/6235/22916/6165/6160/1974/57409/7311/6132/6227/6206/6188/200916/26986/6203/9349/7884/64506/3646/6124/6143/8665/6161/6146/6224/6194/8562/6159/6152/6169/6167/6157/6202/28985/6233/4904/10605/51121/6209/2197/6232/6208/6205/6133/6222/6189/6191/6136/6181/6168/3921/6201/5317/6137/8668/51386/3184/27335/1967/6187/6147/6210/6135/6128/6234/2107/4733/6223/4736/8892/6141/6193/10480/6175/8894/8664/6129/51441/6130/1983/6142/6171/25873/6231/8890/23521/11224/8891,gfa_rna_gsea_f1,GFA,F1,7.725048786851994,cytoplasmic translation
GO:0042773,ATP synthesis coupled electron transport,79,0.6619652995563243,3.070040058240125,1e-10,1.8834375e-8,NA,2926,"tags=72%, list=19%, signal=58%",6392/6391/27069/4718/1350/1345/9167/7381/9377/4717/4710/4698/23479/1340/4709/4697/4702/4712/4711/4707/51103/4695/4715/4726/55967/1327/4694/4725/54949/4720/1347/7386/54205/11315/1716/4716/1351/7388/4722/4706/1339/4696/4724/7384/27089/1349/4700/637/374291/4708/4728/51142/1337/7385/440567/6622/29103,gfa_rna_gsea_f1,GFA,F1,7.725048786851994,ATP synthesis coupled electron transport
GO:0042775,mitochondrial ATP synthesis coupled electron transport,79,0.6619652995563243,3.070040058240125,1e-10,1.8834375e-8,NA,2926,"tags=72%, list=19%, signal=58%",6392/6391/27069/4718/1350/1345/9167/7381/9377/4717/4710/4698/23479/1340/4709/4697/4702/4712/4711/4707/51103/4695/4715/4726/55967/1327/4694/4725/54949/4720/1347/7386/54205/11315/1716/4716/1351/7388/4722/4706/1339/4696/4724/7384/27089/1349/4700/637/374291/4708/4728/51142/1337/7385/440567/6622/29103,gfa_rna_gsea_f1,GFA,F1,7.725048786851994,mitochondrial ATP synthesis coupled electron transport
GO:0097250,mitochondrial respirasome assembly,76,0.6452699773473238,2.966316245236563,1e-10,1.8834375e-8,NA,2537,"tags=66%, list=17%, signal=55%",25994/55863/100303755/51241/192286/54968/4718/84233/9167/4717/4710/25915/4698/4709/4702/4712/4711/4707/91942/51103/4695/10063/4715/55967/4694/6834/4725/5018/54949/64756/29078/4720/1347/7386/51204/54539/4716/4722/4706/4696/4724/644096/4700/374291/57226/79072/54902/4708/4728/79064,gfa_rna_gsea_f1,GFA,F1,7.725048786851994,mitochondrial respirasome assembly
GO:0061469,regulation of type B pancreatic cell proliferation,13,0.8180869940572432,2.193330319759405,8.073068318736216e-6,0.00973127655140463,NA,1346,"tags=54%, list=9%, signal=49%",3164/26471/8660/9572/8013/3651/64743,gfa_rna_gsea_f10,GFA,F10,2.0118301851308065,regulation of type B pancreatic cell proliferation
GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,42,0.5831266784896473,2.093669333662138,2.7183437878872888e-5,0.01092230533973112,NA,2374,"tags=50%, list=16%, signal=42%",26471/7161/51065/27113/3622/1026/64782/54541/596/23411/8626/28996/79915/51616/25946/4582/972/204851/2033/11200/57646,gfa_rna_gsea_f10,GFA,F10,1.9616856866627026,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
