ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Factor,Method,Term,neglog10_padj
GO:0007389,pattern specification process,37/281,428/13960,0.08644859813084112,4.294741743439651,9.92236975919144,5.735497913390969e-14,1.948922190970251e-10,NA,EMX1/HOXB9/HAND1/WT1/OVOL2/GATA5/DBX1/SOX17/IRX4/GREM1/PITX2/FOXD1/MAFB/RAX/LMX1B/NOTO/WNT1/UNCX/FOXA2/WNT3A/CDX2/HOXD13/ALX4/HOXD8/HOXC9/IRX2/IRX3/HOXB7/HAND2/ISL1/TBX3/BASP1/MLLT3/SIM2/HOXB4/DMRT3/HES4,37,F7,GFA,pattern specification process,9.710205499367147
GO:0003002,regionalization,33/281,387/13960,0.08527131782945736,4.236254793235675,9.253657122055664,2.1547795703250066e-12,3.660970489982186e-9,NA,EMX1/HOXB9/HAND1/WT1/OVOL2/GATA5/DBX1/SOX17/GREM1/PITX2/FOXD1/MAFB/LMX1B/NOTO/WNT1/FOXA2/WNT3A/CDX2/HOXD13/ALX4/HOXD8/HOXC9/IRX2/IRX3/HOXB7/HAND2/ISL1/TBX3/BASP1/MLLT3/HOXB4/DMRT3/HES4,33,F7,GFA,regionalization,8.436403771825804
GO:0045165,cell fate commitment,23/281,280/13960,0.08214285714285714,4.080833756990341,7.463754912418849,1.1383431483026248e-8,1.289363339310773e-5,NA,WT1/GATA5/DBX1/SOX17/BHLHE23/BHLHE22/JAK1/MYOD1/WNT1/FOXA2/PPARG/GDF7/WNT3A/ISL1/GATA6/HOXA13/EYA2/TBX3/PTF1A/DMRT3/EBF2/WNT9A/IRF4,23,F7,GFA,cell fate commitment,4.889624682318943
GO:0002027,regulation of heart rate,13/275,94/13960,0.13829787234042554,7.020502901353965,8.30218102183411,3.6791090205854534e-8,8.744146593991845e-5,NA,SCN3B/CAV1/KCND3/RYR2/ACE/KCNA5/KCNH2/HEY2/CACNA1G/ISL1/PKP2/ADM/ADA,13,F11,GFA,regulation of heart rate,4.058282570131081
GO:0086091,regulation of heart rate by cardiac conduction,9/275,39/13960,0.2307692307692308,11.714685314685315,9.49833771611966,4.9513853873113514e-8,8.744146593991845e-5,NA,SCN3B/CAV1/KCND3/ACE/KCNA5/KCNH2/CACNA1G/ISL1/PKP2,9,F11,GFA,regulation of heart rate by cardiac conduction,4.058282570131081
GO:0001501,skeletal system development,29/281,486/13960,0.05967078189300411,2.9644274563214856,6.31769997303925,1.7039818923143662e-7,1.447532617521054e-4,NA,HOXB9/HAND1/DLX4/RUNX3/BBS2/GREM1/PITX2/EXT2/WNT1/UNCX/RYR1/DLX5/BARX2/HOXD13/ALX4/HOXD8/HOXC9/NPR3/HOXB7/VDR/HAND2/HOXA13/TBX3/HOXB4/KIAA1217/TFAP2A/WNT9A/PAX1/BMP3,29,F7,GFA,skeletal system development,3.839371641452127
GO:0042391,regulation of membrane potential,26/275,424/13960,0.06132075471698113,3.1128644939965695,6.262972432867591,3.002276820189943e-7,3.2898063837202813e-4,NA,SCN3B/LRRK2/FGF12/TBX18/CAV1/WNT7A/GNA14/KCND3/ADRB2/BID/NPR2/NALCN/RYR2/RELN/KCNA5/GRIN2C/KCNH2/CBLN1/BOK/SNCA/RIMS2/CACNA1G/SLC39A8/UCP2/FZD9/PKP2,26,F11,GFA,regulation of membrane potential,3.4828296610032865
GO:0036293,response to decreased oxygen levels,21/275,294/13960,0.07142857142857142,3.625974025974026,6.450813449672167,3.725715043850829e-7,3.2898063837202813e-4,NA,AGTRAP/THBS1/PLAU/CYGB/CAV1/FZD4/ZFP36L1/DIO3/TGFB2/RYR2/HIF3A/ACE/KCNA5/ITGA2/TERC/NDRG1/MAP1LC3A/UCP2/STC2/ADM/ADA,21,F11,GFA,response to decreased oxygen levels,3.4828296610032865
GO:0009952,anterior/posterior pattern specification,17/281,206/13960,0.0825242718446602,4.099782330788101,6.423969012882983,9.185820307490596e-7,4.45905962926472e-4,NA,HOXB9/WT1/SOX17/WNT1/FOXA2/WNT3A/CDX2/HOXD13/ALX4/HOXD8/HOXC9/HOXB7/TBX3/BASP1/MLLT3/HOXB4/HES4,17,F7,GFA,anterior/posterior pattern specification,3.350756719960894
GO:0055123,digestive system development,14/281,137/13960,0.1021897810218978,5.076759227991792,6.872699119315824,6.710680117520661e-7,4.45905962926472e-4,NA,OVOL2/GATA5/IGF2/SOX17/MYOCD/NPY/CDX2/HOXD13/ALX4/DACT1/GATA6/HOXA13/PTF1A/CYP1A1,14,F7,GFA,digestive system development,3.350756719960894
