ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,factor
GO:0016197,endosomal transport,245,0.49567961044607084,2.2521037626947793,1e-10,3.775771947971296e-8,NA,3180,"tags=45%, list=21%, signal=36%",8301/950/10890/7874/5868/81609/65977/10228/55737/1213/8766/23339/23011/112574/30849/25963/9527/164/5594/9779/8678/9525/401548/51762/9648/51201/51542/22836/23258/6643/54741/51552/27236/6272/5870/55207/10079/9372/9581/54918/64089/25978/23317/1639/257364/30845/57182/51534/4642/10490/54497/23484/10254/8898/23085/84910/2060/9341/1601/57679/8674/8411/4771/29934/51479/137492/200576/8027/92241/23527/55353/55773/7109/55275/7813/23023/51429/124997/6653/5604/8723/50618/112936/9827/22853/25938/10123/57533/5289/11021/382/5962/6453/23673/8943/8729/157680/23274/27147/85377/22876/51143/80230/51026/6714/120892/537/7415/284697/51028/9043,F11
GO:0048193,Golgi vesicle transport,273,0.48814283683521176,2.241931951735184,1e-10,3.775771947971296e-8,NA,3700,"tags=52%, list=25%, signal=40%",8452/10427/372/5537/27032/10890/286451/9522/55770/10228/57120/11236/9276/8766/8615/26958/51014/149371/3998/10483/9527/50999/164/9135/128637/2181/27072/64083/64764/9648/7405/1523/377/9265/55014/51542/6643/375056/84272/51552/6272/5870/50807/55207/56681/10079/23299/9217/9581/9183/10640/51290/6711/30845/4430/59349/10525/9554/10490/27252/63971/6683/5584/113419/2803/55204/11031/9218/10802/2060/10239/4644/81555/9341/6892/29934/22937/51479/60412/10066/10484/22872/51128/10749/5861/57222/3916/23041/1314/7109/9321/11196/6653/9871/10466/163882/57533/54536/9117/9632/51594/80055/3064/11070/11014/8943/261729/8729/288/1315/9919/10972/51124/23230/80230/51026/120892/57511/7415/55435/55062/10564/1176/26286/399687/134957/23233/55763/6836/23499/54520/3996/81876/6102/55614/10959/9950/56907/54832/84068/83548,F11
GO:0032869,cellular response to insulin stimulus,193,0.49189547752719265,2.18604534768552,1e-10,3.775771947971296e-8,NA,3395,"tags=46%, list=23%, signal=36%",8452/5781/64710/6654/55625/10890/26060/8396/5925/114882/8615/23433/2308/1979/7532/8648/5594/25948/6667/6198/23411/5290/9663/30837/2729/5286/5170/490/23191/3416/142/6655/2885/2932/5305/9640/5786/132864/5562/3643/5584/11031/5295/4644/9882/5166/10499/8850/6715/5167/324/94056/4303/23235/143686/3480/9370/5591/6653/8660/79837/5795/2241/8412/23038/55023/4691/2549/5770/6548/10999/5140/10580/8503/9734/5791/4690/6443/6714/29904/51094/340706/1176/252983/2475/1291/3625/3667/858,F11
GO:0035195,miRNA-mediated post-transcriptional gene silencing,215,-0.4130694821738147,-2.121841694055234,1e-10,3.775771947971296e-8,NA,3493,"tags=49%, list=23%, signal=38%",768214/5936/406958/693189/406956/283131/406932/693159/406973/7073/54487/724031/406913/100126345/84944/406978/693141/406903/406943/407039/407051/114614/574457/407007/442900/406929/574433/574436/406900/100126348/407975/407001/407017/406954/574434/693160/574413/407037/442914/407053/768212/407054/574409/664612/100126315/724026/406937/693175/693209/494328/693233/406983/406890/406961/724024/693135/100302157/406987/100302250/100126318/407046/442891/574452/406992/100126333/406959/574450/406920/768218/407019/100126308/406963/442907/406966/100302149/574408/442898/693121/406946/494326/406924/494330/55384/494337/407011/494331/100302217/574454/574435/724025/768220/619555/100126297/406893/724029/100302256/406968/407023/406941/100126335/664615/693186/100302209/574453/407050/407014,F11
GO:0071375,cellular response to peptide hormone stimulus,286,0.4589135409638313,2.1203787020054863,1e-10,3.775771947971296e-8,NA,3668,"tags=44%, list=24%, signal=34%",5573/8452/5781/64710/6654/55625/10890/26060/8396/9475/5925/114882/8615/23433/2308/1979/7532/3716/5578/8648/5530/5594/25948/6667/6198/1398/23411/5290/6093/6774/9663/30837/54741/2729/5286/5170/6777/490/23191/3416/142/6655/2885/2932/5305/5910/9640/5786/132864/23484/5562/3643/5584/11031/5295/4644/9882/5166/10499/8850/4921/6885/6715/5167/4780/324/94056/8036/4303/23235/143686/3480/2195/6776/1545/9370/5591/6653/8660/79837/5795/4790/2241/8412/23038/55023/4691/2549/5770/4131/2200/6548/3717/10999/2353/3624/5140/10580/55777/8503/9734/5791/4690/6443/6714/29904/51094/340706/1176/252983/2475/1291/3625/1906/112/3667/4067/858/4929/10014/2887/5747/57492/2890/376497/5579,F11
GO:0016358,dendrite development,216,0.4635951446620433,2.0892018148199014,1e-10,3.775771947971296e-8,NA,3015,"tags=37%, list=20%, signal=30%",8301/5048/5062/8322/8976/10152/7779/4076/5597/23011/57498/4208/9693/27067/5530/8609/4205/6801/1398/1523/84298/170506/22906/10611/50807/5728/23191/1399/27185/2932/54664/4204/22903/55236/4130/1982/2043/91137/2332/8440/3688/4891/9922/4038/2534/351/5663/57580/55619/5911/26115/10371/57520/7074/5592/144165/1952/4734/57118/56896/382/25/8829/6792/84687/4131/153090/7533/7337/23345/80243/64689/10160/10006/2048/26259/23043/29904/22849/120892,F11
GO:0010256,endomembrane system organization,495,0.42727071539167094,2.0595098698050434,1e-10,3.775771947971296e-8,NA,4041,"tags=43%, list=27%, signal=33%",137886/22930/57003/1182/950/116068/488/5048/3267/10890/51100/93380/26985/55161/8976/57403/55654/65977/10228/10269/8546/79065/8766/65125/8615/51014/149371/57617/112574/5869/3998/5578/50999/164/5007/5594/128637/80124/9525/64083/54874/9451/9101/57488/1385/9648/55014/26092/10159/8867/196527/7905/221035/375056/84272/5862/50807/23471/55207/523/9712/5728/22931/55361/9217/399979/9183/8560/25978/23317/6711/79666/29927/10015/1639/54808/257364/30845/57142/7110/10565/51534/9554/10490/57088/10254/6683/55204/9218/162/10239/81555/440026/57679/9529/8674/8411/64225/137492/7042/2804/25782/8826/22872/9342/27314/8027/4627/5861/55353/23344/7534/9697/25923/9321/11196/51606/23023/535/51429/124491/7357/5604/23208/10466/10313/6609/287/23332/27230/1452/163590/7075/23204/114786/3064/8447/79026/8943/57584/57716/8729/288/10142/157680/23136/9788/2149/23345/11252/85377/9919/7518/64689/23315/57097/2934/81035/10075/10972/9631/727910/26259/81037/10162/8676/120892/57511/537/79659/63982/51028/165324/10564/1176/5270/399687/5873/121601/1291/79188/339302/858/6857/6836/79895/81876/51411/10959/26003/146849/9950/5579/56926/133022/83548/84343/23435/57531/5830/246777/9688/84376/27035/9382/79803/23175/84327/143425/120935/84823/83452/358/27348,F11
GO:0032868,response to insulin,252,0.4479803009660987,2.0412781875621415,1e-10,3.775771947971296e-8,NA,3704,"tags=44%, list=25%, signal=33%",8452/5781/64710/6654/55625/10890/26060/8396/5925/114882/8615/23433/2308/1979/7532/8648/6814/5594/25948/6667/6198/23411/5290/9663/23607/30837/2729/3030/5286/6272/5170/490/23191/3416/142/6655/2885/2932/5305/1432/9640/5786/132864/5562/3643/5584/11031/5465/5295/4644/9882/5166/10499/8850/6715/5167/324/94056/22937/4303/23235/143686/3480/9370/5591/6653/8660/79837/5795/2241/8412/23038/55023/4691/83667/2549/5770/6548/10999/2353/1959/5140/10580/8503/9734/7097/5791/4690/8792/6443/6714/29904/51094/340706/1176/252983/2475/1291/3625/3667/4067/858/54206/10014/2887/54832/376497/5579/3784/9852,F11
GO:0016050,vesicle organization,331,0.43355546233060005,2.0254679844999717,1e-10,3.775771947971296e-8,NA,1946,"tags=30%, list=13%, signal=26%",8452/10427/528/9392/1182/8301/950/5537/5048/3267/26985/6386/8976/57403/55654/65977/10228/8396/8546/8766/8615/23339/149371/57617/5869/10483/9527/164/5007/128637/27072/9525/64083/54874/9101/1385/7405/55014/10159/8867/375056/84272/51552/6272/55207/523/56681/55361/9217/596/399979/25978/23317/79666/10015/5305/257364/59349/7110/253832/51534/9554/10490/10254/63971/5584/55204/9218/10802/162/2060/10239/9882/81555/9341/57679/54809/8674/8411/22937/51479/137492/200576/10484/22872/51128/9342/8027/5861/55353/7109/51606/80208/23023/535/9839/23208/9871,F11
GO:0043434,response to peptide hormone,398,0.4156906786264944,1.9732060307055175,1e-10,3.775771947971296e-8,NA,3727,"tags=40%, list=25%, signal=31%",5573/8452/5781/64710/6654/55625/10890/26060/8396/9475/5925/114882/8615/23433/2308/1979/7532/4048/3716/5578/8648/6814/5530/5594/25948/6667/6198/1398/23411/5290/1385/6093/6774/9663/23607/30837/54741/2729/3030/5286/6272/5170/6777/1147/490/23191/3416/142/6655/2885/2932/5305/54765/1605/5910/1432/9640/5786/132864/4041/23484/5562/3643/5584/11031/5465/5295/4644/9882/5166/10499/8850/4088/4921/6885/6715/5167/4780/324/94056/22937/7049/8036/4303/8805/23235/143686/3480/2195/6776/1545/9370/5591/6653/8660/79837/5795/4790/2241/8412/23038/55023/4691/9365/6938/83667/2549/5770/4131/2200/6548/3717/10999/2353/3624/5021/1959/5140/10580/55777/2770/8503/9734/7097/5791/4040/4690/8792/1910/6443/6714/29904/51094/1281/340706/1176/5743/252983/2475/7832/1291/3625/3488/1906/112/3667/4067/858/4929/54206/10014/2887/5747/57492/2890/54832/376497/5579/3784/9852/4747,F11
GO:0016236,macroautophagy,330,0.41893097958285885,1.955031990906539,1e-10,3.775771947971296e-8,NA,3304,"tags=40%, list=22%, signal=32%",137886/22930/4077/528/488/51100/9637/5868/5049/8396/55737/10152/79065/9821/23339/149371/112574/1457/30849/23367/9779/8678/27072/9517/51322/3791/9525/401548/10059/128077/23411/5290/7405/84749/55014/2773/4534/3920/5862/55207/523/7189/25978/9927/94241/29110/10015/7855/5305/55432/51534/9554/79443/10490/10254/23710/29978/140775/801/440026/51569/27244/3091/57231/6885/2081/5899/137492/200576/91452/60412/25782/9342/5663/8027/29979/5861/143686/5768/25793/10241/4864/26100/51606/23001/80208/535/124997/9373/8723/7416/79837/112936/57533/5289/23232/9538/4734/84938/3064/23673/83667/10558/3964/9706/55626/79876/23274/6721/526/53349/10206/10075/987/2048/223082/6714/120892/665/8897/23400/7415/51028/55062/165324/22954/2475/154/55187/1634/57154,F11
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,400,0.40755634611442215,1.936349129142283,1e-10,3.775771947971296e-8,NA,3156,"tags=37%, list=21%, signal=30%",137886/8452/9655/5707/7328/55284/7874/80232/996/23291/7326/10513/23429/11059/339745/8554/23008/11236/80204/8065/5718/51088/1457/10116/200933/51665/23510/9867/25948/51322/26224/23411/23197/79718/84640/153830/51667/6047/30837/4534/22836/9320/51377/2729/11275/4092/10221/79139/144699/79699/329/84078/1642/23321/5887/8239/2932/84541/6907/56929/8697/8454/59349/4130/9683/55212/27252/64839/10625/1499/9575/26043/64750/83892/29761/57630/8453/197131/1601/9529/10973/130507/4780/324/6451/3093/6815/8945/5663/51105/10277/56888/25793/23276/23194/83737/10444/9921/25879/9373/7321/89890/25831/10210/6478/25852/3326/144165/80311/7126/1452/64682/84961/56658/84101/55626/54813/51366/378884/7337/54800/11060/10393/25898/8667/5516/54476/10206/28951/1161/26259/79791/26235/223082/54620/23304/344558/408/8451/120892/377007/7415/29945/54442/9491/165324/5717/26273,F11
GO:0031329,regulation of cellular catabolic process,415,0.40027453628053694,1.9064208249820656,1e-10,3.775771947971296e-8,NA,3894,"tags=41%, list=26%, signal=31%",22930/528/92140/950/51100/9637/5049/8396/10269/22926/55737/9821/65125/2309/2308/149371/112574/1457/30849/23367/8678/5291/9517/51322/3791/401548/7078/10059/23411/5290/7405/6093/1981/6774/219771/84749/10098/2773/4534/5286/94103/523/596/5045/94241/29110/2932/7855/5305/257364/220441/2072/66036/1982/9554/79443/23012/5562/3643/9682/8898/5465/29978/140775/9100/27244/3091/8850/23530/6885/2081/7077/5899/373/60412/25782/3953/2033/351/5663/29979/8754/143686/5768/25793/10241/4864/83737/51606/535/51429/27/51099/128338/6653/1374/8723/8660/7416/57521/79837/112936/493/57533/5289/83752/4734/8671/25/3064/83667/5770/10558/7107/8975/9706/55626/53373/7133/221937/23274/6721/598/10769/526/58528/23677/151636/3479/10206/405/10075/152503/81603/10645/6714/120892/665/8897/23400/3428/3356/5294/55062/22954/2475/154/55187/1634/5660/8925/3667/55763/56963/3082/3607/29072/5255/3949/60592/54832/949/11178/64121/55255/9559/10868/26291/3708/4233/65018,F11
