ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Factor
GO:0007389,pattern specification process,37/281,428/13960,0.08644859813084112,4.294741743439651,9.92236975919144,5.735497913390969e-14,1.9489221909702514e-10,NA,EMX1/HOXB9/HAND1/WT1/OVOL2/GATA5/DBX1/SOX17/IRX4/GREM1/PITX2/FOXD1/MAFB/RAX/LMX1B/NOTO/WNT1/UNCX/FOXA2/WNT3A/CDX2/HOXD13/ALX4/HOXD8/HOXC9/IRX2/IRX3/HOXB7/HAND2/ISL1/TBX3/BASP1/MLLT3/SIM2/HOXB4/DMRT3/HES4,37,F7
GO:0003002,regionalization,33/281,387/13960,0.08527131782945736,4.236254793235675,9.253657122055664,2.1547795703250066e-12,3.660970489982186e-9,NA,EMX1/HOXB9/HAND1/WT1/OVOL2/GATA5/DBX1/SOX17/GREM1/PITX2/FOXD1/MAFB/LMX1B/NOTO/WNT1/FOXA2/WNT3A/CDX2/HOXD13/ALX4/HOXD8/HOXC9/IRX2/IRX3/HOXB7/HAND2/ISL1/TBX3/BASP1/MLLT3/HOXB4/DMRT3/HES4,33,F7
GO:0045165,cell fate commitment,23/281,280/13960,0.08214285714285714,4.080833756990341,7.463754912418849,1.1383431483026248e-8,1.289363339310773e-5,NA,WT1/GATA5/DBX1/SOX17/BHLHE23/BHLHE22/JAK1/MYOD1/WNT1/FOXA2/PPARG/GDF7/WNT3A/ISL1/GATA6/HOXA13/EYA2/TBX3/PTF1A/DMRT3/EBF2/WNT9A/IRF4,23,F7
GO:0001501,skeletal system development,29/281,486/13960,0.059670781893004114,2.9644274563214856,6.31769997303925,1.7039818923143662e-7,1.447532617521054e-4,NA,HOXB9/HAND1/DLX4/RUNX3/BBS2/GREM1/PITX2/EXT2/WNT1/UNCX/RYR1/DLX5/BARX2/HOXD13/ALX4/HOXD8/HOXC9/NPR3/HOXB7/VDR/HAND2/HOXA13/TBX3/HOXB4/KIAA1217/TFAP2A/WNT9A/PAX1/BMP3,29,F7
GO:0055123,digestive system development,14/281,137/13960,0.10218978102189781,5.076759227991792,6.872699119315824,6.710680117520661e-7,4.4590596292647203e-4,NA,OVOL2/GATA5/IGF2/SOX17/MYOCD/NPY/CDX2/HOXD13/ALX4/DACT1/GATA6/HOXA13/PTF1A/CYP1A1,14,F7
GO:0002009,morphogenesis of an epithelium,27/281,467/13960,0.057815845824411134,2.8722747605294643,5.89830059437441,8.618467931086261e-7,4.4590596292647203e-4,NA,HAND1/WT1/OVOL2/ADAMTS16/FOXQ1/AJAP1/SOX17/GREM1/FOXD1/NOTO/SLIT2/WNT1/CSF1/GDF7/WNT3A/HOXD13/TMEM59L/IRX2/CELSR1/IRX3/HOXB7/VDR/HAND2/HOXA13/TBX3/HOXB4/TFAP2A,27,F7
GO:0009952,anterior/posterior pattern specification,17/281,206/13960,0.0825242718446602,4.099782330788101,6.423969012882983,9.185820307490595e-7,4.4590596292647203e-4,NA,HOXB9/WT1/SOX17/WNT1/FOXA2/WNT3A/CDX2/HOXD13/ALX4/HOXD8/HOXC9/HOXB7/TBX3/BASP1/MLLT3/HOXB4/HES4,17,F7
GO:0060562,epithelial tube morphogenesis,21/281,320/13960,0.065625,3.2602313167259784,5.862378174907096,2.0955961028521875e-6,8.494250364802835e-4,NA,HAND1/WT1/OVOL2/ADAMTS16/SOX17/GREM1/FOXD1/NOTO/SLIT2/WNT1/CSF1/GDF7/WNT3A/TMEM59L/IRX2/CELSR1/IRX3/HOXB7/VDR/HAND2/TBX3,21,F7
GO:0060911,cardiac cell fate commitment,5/281,12/13960,0.4166666666666667,20.69988137603796,9.784787616253803,2.2498014503597857e-6,8.494250364802835e-4,NA,WT1/SOX17/WNT3A/ISL1/TBX3,5,F7
GO:0030900,forebrain development,23/281,385/13960,0.05974025974025974,2.967879095992975,5.611926790035491,3.3578313108271985e-6,0.001140991079419082,NA,EMX1/SLC6A3/KIF26A/BBS2/LMX1A/SLC32A1/PITX2/KCNA1/RAX/SLIT2/NPY/WNT1/UNCX/DLX5/GDF7/WNT3A/ISL1/TBX3/SSTR4/HTR5A/LHX5/CNTNAP2/SCN5A,23,F7
GO:0048732,gland development,24/281,422/13960,0.05687203791469194,2.8253866522743754,5.457414996140745,4.769952112660396e-6,0.0013074978387371458,NA,HOXB9/WT1/SLC6A3/IGF2/CEBPA/PITX2/MAFB/PCSK9/WNT1/CSF1/GDF7/WNT3A/HOXD13/VDR/HAND2/ISL1/GATA6/HOXA13/TBX3/PTF1A/LSR/CD2AP/ELF3/CYP1A1,24,F7
GO:0003161,cardiac conduction system development,7/281,35/13960,0.2,9.935943060498222,7.586298934363762,5.154985137024221e-6,0.0013074978387371458,NA,CACNA1G/IRX3/ISL1/GATA6/TBX3/MSC/SCN5A,7,F7
GO:0021515,cell differentiation in spinal cord,8/281,49/13960,0.16326530612244897,8.110973926937323,7.146626571710044,5.377134498908347e-6,0.0013074978387371458,NA,PHOX2A/DBX1/WNT1/GDF7/WNT3A/ISL1/DMRT3/LHX5,8,F7
GO:0061138,morphogenesis of a branching epithelium,15/281,186/13960,0.08064516129032258,4.006428653426702,5.916031442296838,5.38698344388465e-6,0.0013074978387371458,NA,WT1/ADAMTS16/GREM1/FOXD1/SLIT2/WNT1/CSF1/GDF7/HOXD13/TMEM59L/CELSR1/HOXB7/VDR/HOXA13/TBX3,15,F7
GO:0014706,striated muscle tissue development,22/281,376/13960,0.05851063829787234,2.9067918528053305,5.372006289385066,7.686437650076107e-6,0.0017412343423305742,NA,HAND1/WT1/GATA5/IGF2/GREM1/FGF3/MYOCD/MYOD1/RYR1/BARX2/WNT3A/RGS2/CACNA1G/IRX3/POPDC3/ISL1/GATA6/EYA2/TBX3/MSC/DSP/SCN5A,22,F7
GO:0007214,gamma-aminobutyric acid signaling pathway,6/281,26/13960,0.23076923076923078,11.464549685190256,7.65459917093924,1.0343569820240593e-5,0.002081194646222153,NA,GABRG3/HTR1A/GABRA1/GABRB2/GPR156/GABRD,6,F7
GO:0048565,digestive tract development,12/281,128/13960,0.09375,4.657473309608541,5.957949242881749,1.0412097994637022e-5,0.002081194646222153,NA,OVOL2/GATA5/SOX17/MYOCD/NPY/CDX2/HOXD13/ALX4/DACT1/GATA6/HOXA13/CYP1A1,12,F7
GO:0048738,cardiac muscle tissue development,16/281,224/13960,0.07142857142857142,3.5485510930350785,5.5111261426716025,1.234930928734628e-5,0.0023312751643557034,NA,HAND1/WT1/GATA5/GREM1/FGF3/MYOCD/WNT3A/RGS2/CACNA1G/IRX3/ISL1/GATA6/TBX3/MSC/DSP/SCN5A,16,F7
GO:0048754,branching morphogenesis of an epithelial tube,13/281,154/13960,0.08441558441558442,4.193742200859639,5.711884560974508,1.4043728248196597e-5,0.0024020078887112637,NA,WT1/ADAMTS16/GREM1/FOXD1/SLIT2/WNT1/CSF1/GDF7/TMEM59L/CELSR1/HOXB7/VDR/TBX3,13,F7
GO:0001763,morphogenesis of a branching structure,15/281,202/13960,0.07425742574257425,3.689087769986963,5.517675409759562,1.4602881425119424e-5,0.0024020078887112637,NA,WT1/ADAMTS16/GREM1/FOXD1/SLIT2/WNT1/CSF1/GDF7/HOXD13/TMEM59L/CELSR1/HOXB7/VDR/HOXA13/TBX3,15,F7
GO:0008015,blood circulation,25/281,482/13960,0.05186721991701245,2.576748719008875,5.049244705261661,1.4844663232176734e-5,0.0024020078887112637,NA,ATP2A3/FLI1/ADAMTS16/FAAH/BBS2/NTSR1/EPO/HTR1A/SLIT2/NPY/EXT2/DRD5/PPARG/ADRA2B/CALCA/RGS2/CACNA1G/NPR3/IRX3/ISL1/GATA6/DOCK5/DSP/SCN5A/ADRA2C,25,F7
GO:0048562,embryonic organ morphogenesis,18/281,281/13960,0.06405693950177936,3.182330517597295,5.296630168358265,1.5814233024253595e-5,0.002442580173473351,NA,HOXB9/HAND1/OVOL2/SOX17/MAFB/NOTO/POU4F3/WNT1/DLX5/WNT3A/ALX4/HOXC9/HOXB7/HAND2/TBX3/HOXB4/TFAP2A/TTC39C,18,F7
GO:0060537,muscle tissue development,22/281,397/13960,0.055415617128463476,2.753032082253915,5.0787913997791,1.798020937749443e-5,0.0025803415647431267,NA,HAND1/WT1/GATA5/IGF2/GREM1/FGF3/MYOCD/MYOD1/RYR1/BARX2/WNT3A/RGS2/CACNA1G/IRX3/POPDC3/ISL1/GATA6/EYA2/TBX3/MSC/DSP/SCN5A,22,F7
GO:0048568,embryonic organ development,23/281,428/13960,0.053738317757009345,2.6697043270030263,5.028443808694345,1.8875842757222343e-5,0.0025803415647431267,NA,HOXB9/HAND1/OVOL2/IGF2/PHLDA2/SOX17/CEBPA/PITX2/MAFB/NOTO/POU4F3/WNT1/DLX5/WNT3A/CDX2/ALX4/HOXC9/HOXB7/HAND2/TBX3/HOXB4/TFAP2A/TTC39C,23,F7
GO:0061448,connective tissue development,17/281,258/13960,0.06589147286821706,3.27346961295484,5.282751281231373,1.898426695661512e-5,0.0025803415647431267,NA,HAND1/WT1/RUNX3/BBS2/GREM1/FOXD1/EXT2/UNCX/PPARG/BARX2/CSF1/GDF7/HAND2/EBF2/WNT9A/BMP3/CD2AP,17,F7
GO:0035282,segmentation,10/281,95/13960,0.10526315789473684,5.229443716051695,5.92841031694083,2.0831823889559706e-5,0.002662169526695548,NA,WT1/MAFB/WNT3A/CDX2/HOXD8/IRX2/IRX3/TBX3/BASP1/MLLT3,10,F7
GO:0003205,cardiac chamber development,13/281,160/13960,0.08125,4.036476868327402,5.5366052981437095,2.1153201065562036e-5,0.002662169526695548,NA,HAND1/OVOL2/SLIT3/NPY5R/SLIT2/MYOCD/HAND2/ISL1/GATA6/HOXA13/TBX3/DSP/SCN5A,13,F7
GO:0021516,dorsal spinal cord development,5/281,18/13960,0.2777777777777778,13.79992091735864,7.788146971605556,2.2037888143751573e-5,0.0026744551397309946,NA,WNT1/UNCX/GDF7/WNT3A/LHX5,5,F7
