Factor,VE_RNA,VE_METH,VE_TOTAL,Rank,RNA_share,Class
F1,17.606927407421928,1.1069141881229188,18.713841595544846,1,0.9408505099035124,RNA-specific
F6,0.7483138196581252,16.72186322510339,17.470177044761517,2,0.04283378569895542,METH-specific
F4,1.380424464058331,13.313155430765944,14.693579894824275,3,0.09394745691242862,METH-specific
F5,5.999144972061514,3.979587199879711,9.978732171941225,4,0.6011931043635239,Shared
F2,3.595878135262647,5.969094211278268,9.564972346540916,5,0.3759423451509573,Shared
F14,7.393139898649107,1.3350367674239825,8.72817666607309,6,0.8470428798017637,RNA-specific
F13,5.749546503099397,2.55670034780528,8.306246850904678,7,0.6921954772477275,Shared
F9,6.703474932513992,0.6877133163542124,7.391188248868205,8,0.906954972164385,RNA-specific
F11,2.2930399654277696,4.617891373073664,6.910931338501433,9,0.33179897948819626,Shared
F12,0.9485907758935511,5.18242387940984,6.1310146553033915,10,0.15472003073308757,METH-specific
F10,5.051317216773827,0.6431871717227508,5.694504388496578,11,0.8870512466331489,RNA-specific
F3,4.360673220481832,1.3275771432182555,5.688250363700088,12,0.7666106344948758,Shared
F8,3.996948246273667,1.3506618512912023,5.3476100975648695,13,0.7474270138157135,Shared
F15,0.9397452158675688,4.266180886621242,5.20592610248881,14,0.18051451314652783,METH-specific
F7,1.2541686298495067,3.386202144549397,4.640370774398903,15,0.2702733662509904,Shared
