ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor
GO:0000070,mitotic sister chromatid segregation,169,0.6707191304588312,3.3541025377132194,1e-10,2.0536082474226807e-9,NA,2222,"tags=51%, list=15%, signal=44%",4605/83540/3833/56992/146909/29128/11004/11065/113130/221150/57405/22974/23397/9212/7272/991/4751/332/55143/4085/9787/81620/9700/1063/147841/5347/701/64105/983/699/26271/3835/64151/9319/24137/9928/9493/220134/10403/3832/10615/891/11130/81930/54892/10592/29127/1062/10051/1104/2491/348235/10459/9735/5885/7283/9918/26065/148479/23310/8086/51529/10735/9126/55055/3619/3192/26993/5501/29781/10726/7517/54984/8467/84722/5901/79998/8697/79003/22919/51434/8243/91272/10524/7756/27183,Factor2
GO:0000819,sister chromatid segregation,207,0.6574063932618025,3.282296942593875,1e-10,2.0536082474226807e-9,NA,2222,"tags=49%, list=15%, signal=43%",4605/83540/3833/56992/7153/605/146909/29128/11004/11065/113130/221150/57405/22974/23397/9212/7272/991/4751/332/55143/4085/9787/81620/9700/1063/147841/5347/701/64105/983/699/26271/3835/64151/9319/24137/9928/9493/220134/10403/8193/3832/10615/891/11130/81930/54892/10592/990/29127/1062/10051/1104/2491/348235/10459/9735/6602/7155/10460/6597/5885/6599/7283/9918/26065/148479/23310/8086/51529/10735/29117/29882/6598/9126/55055/3619/3192/5977/86/26993/5501/29781/10726/7517/54984/8467/84722/6604/5901/79998/8697/55274/79003/22919/51434/8243/91272/10524/7756/27183,Factor2
GO:0051983,regulation of chromosome segregation,122,0.6659390885602263,3.203663093002943,1e-10,2.0536082474226807e-9,NA,2036,"tags=52%, list=14%, signal=45%",83540/605/11004/11065/221150/57405/23397/9212/7272/991/332/55143/4085/9787/9700/1063/147841/5347/701/983/699/26271/64151/9319/220134/10403/8193/891/11130/54892/4288/157313/10592/990/1062/10051/10459/9735/56852/6602/10460/6597/5885/6599/9918/23310/51529/29117/29882/6598/55055/3619/3192/5977/86/29781/55920/1457/7517/6604/8697/55274/51434,Factor2
GO:0051310,metaphase chromosome alignment,86,0.709505050603851,3.2022775018549883,1e-10,2.0536082474226807e-9,NA,2222,"tags=55%, list=15%, signal=47%",83540/3833/11004/113130/221150/57405/9212/7272/4751/332/55143/81620/1063/147841/983/3835/9928/1894/220134/10403/81610/10615/891/11130/81930/55166/29127/1062/348235/9735/79980/55055/3619/3192/55920/10726/11243/54984/84722/79998/8697/79003/22919/91272/10524/7756/27183,Factor2
GO:0051304,chromosome separation,76,0.7072156256652555,3.163353733896569,1e-10,2.0536082474226807e-9,NA,1302,"tags=47%, list=9%, signal=43%",83540/11065/221150/57405/23397/9212/7272/991/332/55143/4085/9787/9700/1063/147841/5347/701/699/26271/64151/9319/220134/10403/891/11130/54892/10592/10051/10459/9735/5885/9918/23310/51529/55055/3619,Factor2
GO:1905818,regulation of chromosome separation,71,0.7213363551378966,3.1583191950897826,1e-10,2.0536082474226807e-9,NA,1302,"tags=51%, list=9%, signal=47%",83540/11065/221150/57405/23397/9212/7272/991/332/55143/4085/9787/9700/1063/147841/5347/701/699/26271/64151/9319/220134/10403/891/11130/54892/10592/10051/10459/9735/5885/9918/23310/51529/55055/3619,Factor2
GO:0006261,DNA-templated DNA replication,133,0.653557381498514,3.139716230956643,1e-10,2.0536082474226807e-9,NA,2411,"tags=61%, list=16%, signal=52%",55388/8317/9156/81620/51659/4176/146956/26271/4171/5888/5983/9837/10293/9401/63922/51053/10926/1017/4173/8914/10721/990/64785/4172/5427/5984/57418/84515/11169/54107/997/5985/2237/79733/3978/5426/5557/2021/5111/79075/4175/5558/79915/641/8099/11073/1763/5980/54962/5442/6240/84296/80174/672/25792/91603/580/10714/5425/23649/144455/7083/3980/6117/7014/9134/5424/58525/675/5422/5982/142/55159/29980/11232/56897/55218/222229/57697/64710/80198,Factor2
GO:0044786,cell cycle DNA replication,40,0.8000684264558731,3.1317166482951735,1e-10,2.0536082474226807e-9,NA,1721,"tags=70%, list=11%, signal=62%",8317/81620/26271/4171/5888/9837/51053/10926/4173/64785/4172/2237/79733/3978/5111/4175/79915/641/1763/54962/80174/91603/144455/7083/7014/58525/675/5422,Factor2
GO:0051303,establishment of chromosome localization,92,0.6839379355880425,3.119614230047975,1e-10,2.0536082474226807e-9,NA,2222,"tags=52%, list=15%, signal=45%",83540/3833/11004/113130/221150/57405/9212/7272/4751/332/55143/81620/1063/147841/983/3835/9928/1894/220134/10403/81610/10615/891/11130/81930/55166/29127/1062/348235/9735/79980/55055/3619/3192/55920/10726/11243/54984/84722/79998/8697/79003/22919/91272/10524/54820/7756/27183,Factor2
GO:0044784,metaphase/anaphase transition of cell cycle,93,0.6714313609709388,3.112210793596693,1e-10,2.0536082474226807e-9,NA,1477,"tags=45%, list=10%, signal=41%",83540/605/11065/221150/57405/9212/7272/991/332/55143/4085/9787/9700/1063/147841/5347/701/699/26271/9319/220134/10403/8193/891/11130/990/1062/10459/9735/6602/10460/6597/5885/6599/51529/29117/29882/6598/55055/3619/5977/86,Factor2
GO:0007091,metaphase/anaphase transition of mitotic cell cycle,91,0.6736775453716966,3.101752779757622,1e-10,2.0536082474226807e-9,NA,1477,"tags=46%, list=10%, signal=42%",83540/605/11065/221150/57405/9212/7272/991/332/55143/4085/9787/9700/1063/147841/5347/701/699/26271/9319/220134/10403/8193/891/11130/990/1062/10459/9735/6602/10460/6597/5885/6599/51529/29117/29882/6598/55055/3619/5977/86,Factor2
