ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Factor
GO:0022617,extracellular matrix disassembly,8/273,65/18986,0.12307692307692308,8.55948154409693,7.373803531038319,4.096541023075422e-6,0.01227733344615704,NA,LCP1/FLOT1/CMA1/FAP/PBXIP1/MMP15/ENG/MMP12,8,Factor2
GO:0033605,positive regulation of catecholamine secretion,4/273,12/18986,0.3333333333333333,23.18192918192918,9.283792066515916,1.8902536377307373e-5,0.0283254507613951,NA,OXT/OXTR/CXCL12/GDNF,4,Factor2
GO:0048245,eosinophil chemotaxis,5/273,27/18986,0.18518518518518517,12.87884954551621,7.460423234323643,3.691363267058621e-5,0.03216913731084169,NA,CCL18/CX3CL1/CCL11/CCL7/CCL14,5,Factor2
GO:0006936,muscle contraction,16/273,358/18986,0.0446927374301676,3.108191622158103,4.863886111121985,6.619493506116491e-5,0.03216913731084169,NA,OXT/NPPA/CHRNB4/OXTR/PRKD1/RCSD1/GDNF/MYH8/TRIM63/MYL3/CASQ1/SCN7A/DSP/TACR2/LTB4R/GAMT,16,Factor2
GO:0072677,eosinophil migration,5/273,31/18986,0.16129032258064516,11.217062507385087,6.876380789686988,7.412429827405652e-5,0.03216913731084169,NA,CCL18/CX3CL1/CCL11/CCL7/CCL14,5,Factor2
GO:0051346,negative regulation of hydrolase activity,13/273,252/18986,0.051587301587301584,3.5876795162509443,4.994711591548852,7.735699318251917e-5,0.03216913731084169,NA,TIMP4/CST7/SERPINB9/GZMA/SERPINB1/CAMK2A/RFFL/WFDC2/SERPINA11/LXN/PLA2R1/SPINT2/SERPINA10,13,Factor2
GO:0019730,antimicrobial humoral response,11/273,185/18986,0.05945945945945946,4.135154935154936,5.175702593237131,7.861796226481709e-5,0.03216913731084169,NA,NOD2/WFDC11/CCL18/CX3CL1/DCD/CCL11/CCL7/WFDC2/CXCL12/PRSS3/CCL14,11,Factor2
GO:0008228,opsonization,4/273,17/18986,0.23529411764705882,16.363714716655892,7.654439454473753,8.587023639864315e-5,0.03216913731084169,NA,PLA2G5/CFP/SFTPA1/C4BPB,4,Factor2
GO:0110110,positive regulation of animal organ morphogenesis,5/273,35/18986,0.14285714285714285,9.935112506541078,6.39047142338977,1.3512757532416873e-4,0.03623014093253747,NA,MSX1/GDNF/CD34/HOXC11/HOXA11,5,Factor2
GO:0006874,intracellular calcium ion homeostasis,14/273,304/18986,0.046052631578947366,3.2027665317139,4.676365983023885,1.381193928092786e-4,0.03623014093253747,NA,PLCB2/CX3CL1/GCM2/CCL11/PTPN6/CCL7/PRKD1/CXCL12/ATP13A4/CASQ1/SLC8A2/PLCH1/CCL14/GP9,14,Factor2
GO:0032720,negative regulation of tumor necrosis factor production,7/273,79/18986,0.08860759493670886,6.1622849724115545,5.5534021507334375,1.4109300671014702e-4,0.03623014093253747,NA,NOD2/CX3CL1/CD33/IRAK3/PTPN6/NLRC3/ELF4,7,Factor2
GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,7/273,81/18986,0.08641975308641975,6.010129787907565,5.457805573703712,1.651731096785096e-4,0.03623014093253747,NA,NOD2/CX3CL1/CD33/IRAK3/PTPN6/NLRC3/ELF4,7,Factor2
GO:2000027,regulation of animal organ morphogenesis,7/273,81/18986,0.08641975308641975,6.010129787907565,5.457805573703712,1.651731096785096e-4,0.03623014093253747,NA,FGF7/MSX1/GDNF/CD34/HOXC11/HOXA11/PAX9,7,Factor2
GO:0006959,humoral immune response,14/273,310/18986,0.04516129032258064,3.1407775020678246,4.590133975247215,1.6924323425276095e-4,0.03623014093253747,NA,NOD2/WFDC11/CCL18/CX3CL1/DCD/CFP/CCL11/PTPN6/CCL7/WFDC2/CXCL12/C4BPB/PRSS3/CCL14,14,Factor2
GO:0170039,proteinogenic amino acid metabolic process,10/273,174/18986,0.05747126436781609,3.9968843417119277,4.796694256050167,2.1843997379860115e-4,0.04364430676496051,NA,DCT/HAAO/PIPOX/IDO2/GLYATL1/GPT/BHMT/HPD/GLS2/GLYAT,10,Factor2
GO:0043086,negative regulation of catalytic activity,18/273,486/18986,0.037037037037037035,2.575769909103242,4.250499689898493,2.5136130038222476e-4,0.04460436168061748,NA,TIMP4/CST7/SERPINB9/GZMA/NPPA/SERPINB1/CAMK2A/IRAK3/RFFL/WFDC2/P2RY13/SERPINA11/HHEX/ENG/LXN/PLA2R1/SPINT2/SERPINA10,18,Factor2
GO:0051954,positive regulation of amine transport,5/273,41/18986,0.12195121951219512,8.481193603144822,5.792025068397287,2.907605609960197e-4,0.04460436168061748,NA,OXT/OXTR/CXCL12/GDNF/TACR2,5,Factor2
GO:0170033,L-amino acid metabolic process,10/273,181/18986,0.055248618784530384,3.842308704187157,4.640756472453683,2.9997833119617883e-4,0.04460436168061748,NA,DCT/HAAO/PIPOX/IDO2/GLYATL1/GPT/BHMT/HPD/GLS2/GLYAT,10,Factor2
GO:0055074,calcium ion homeostasis,14/273,329/18986,0.0425531914893617,2.9593952147143634,4.330260283578732,3.110233960812435e-4,0.04460436168061748,NA,PLCB2/CX3CL1/GCM2/CCL11/PTPN6/CCL7/PRKD1/CXCL12/ATP13A4/CASQ1/SLC8A2/PLCH1/CCL14/GP9,14,Factor2
GO:0002002,regulation of angiotensin levels in blood,3/273,10/18986,0.3,20.863736263736264,7.588807210607443,3.2742607840293114e-4,0.04460436168061748,NA,CTSZ/CMA1/REN,3,Factor2
GO:0070471,uterine smooth muscle contraction,3/273,10/18986,0.3,20.863736263736264,7.588807210607443,3.2742607840293114e-4,0.04460436168061748,NA,OXT/OXTR/TACR2,3,Factor2
GO:0070472,regulation of uterine smooth muscle contraction,3/273,10/18986,0.3,20.863736263736264,7.588807210607443,3.2742607840293114e-4,0.04460436168061748,NA,OXT/OXTR/TACR2,3,Factor2
